AAPL,JPM,PFE,TSLA,CVX,DAL,Portfolio Ret,,,,,,,,,,
0.008012157,-0.008589564,0.002608951,0.003336117,0.005524093,-0.044323186,0.004444976,,Stocks,AAPL,JPM,PFE,TSLA,CVX,DAL,,
0.020909258,0.019060853,0.029775972,0.014055626,0.006934604,0.010779117,0.020168039,,Returns (10 year),242.44%,145.07%,97.99%,495.13%,36.94%,162.73%,,
0.001223086,-0.012227564,-0.00557918,0.023931379,-0.004231966,-0.034708786,0.006137365,,Variance (10 year),81.81%,82.87%,41.50%,304.53%,79.44%,169.35%,,
-0.012972831,-0.007276038,-0.002546579,-0.000400882,-0.007158362,0.018000554,-0.006585809,,Volatility (10 year),90.45%,91.04%,64.42%,174.51%,89.13%,130.13%,,
0.00112506,0.02642421,0.003563258,-0.011290443,0.007350892,0.092693938,-0.000178326,,Sharpe Ratio (Rf =0), 2.680 , 1.594 , 1.521 , 2.837 , 0.414 , 1.250 ,,
-0.009291183,0.003442254,-0.001016679,0.002430135,-0.015832434,-0.017312518,-0.004398615,,Weights,49.32%,0.13%,17.80%,30.54%,0.00%,2.21%,100.00%,
-0.016591983,-0.022370515,-0.015377274,-0.029142222,-0.030417053,0.027200226,-0.019249878,,$,"$49,318",$131,"$17,799","$30,544",$0,"$2,208","$100,000",
0.015229258,0.004601826,0.005665782,0.002495842,0.008542561,0.004462468,0.00938611,,Portfolio Return,292.02%,,,,,,,
0.004450724,-0.009666131,0.017312317,-0.03466112,0.00866829,-0.023424476,-0.005840177,,Portfolio variance,72.91%,,,,,,,
-0.02326318,-0.015349269,-0.002527426,-0.012987196,0.00425728,-0.025855537,-0.016480536,,Portfolio Volatility,85.39%,,,,,,,
-0.045667141,-0.018095508,-0.023554519,-0.005680592,-0.017137569,-0.046921229,-0.029509338,,Portfolio Sharpe,3.420031673,,,,,,,
0.013932604,0.016974261,0.029609215,-0.000438308,0.027064939,-0.033901453,0.01128147,,,,,,,,,,
-0.011934619,0.026136647,0.014977969,0.006554535,0.005462104,0.037815367,-0.000348763,,,,,,,,,,
0.025763722,-0.00240802,-0.009960497,-0.010067934,0.022983327,-0.006859269,0.007703525,,,,,,,,,,
0.005584081,-0.003512537,-0.002003892,-0.024043901,0.000379981,-0.016857235,-0.005323405,,,,,,,,,,
-0.005908433,0.002855095,-0.001003798,0.000900901,0.002373182,-0.009040835,-0.003013262,,,,,,,,,,
0.016897411,0.00284688,0.018896715,0.005388428,-0.000948704,0.010040395,0.013568159,,,,,,,,,,
0.018865692,0.002838682,0.002459977,0.01863408,0.013197889,-0.021202343,0.014969222,,,,,,,,,,
-0.003133877,0.002178123,-0.003938873,0.021739987,-0.006954416,0.011161948,0.004642838,,,,,,,,,,
0.001482772,0.00130471,0.005412035,0.028409797,0.012464503,-0.012182708,0.01010475,,,,,,,,,,
-0.006661279,0.009300653,-0.001964972,-0.008818029,0.005942951,0.015205449,-0.005980407,,,,,,,,,,
-0.000344305,-0.007563559,-0.001475387,0.15733894,-0.004825955,-0.014184688,0.047301722,,,,,,,,,,
-0.011398707,0.005407866,0.003440359,-0.040071525,0.007691886,0.002038744,-0.017196487,,,,,,,,,,
-0.009828522,0.00519298,0.007820171,-0.031627708,-0.000830852,0.001017987,-0.013086289,,,,,,,,,,
-0.006763758,0.005165585,-0.004391458,0.033126958,0.010112275,-0.013313155,0.005713694,,,,,,,,,,
