Date,AAPL,JPM,PFE,TSLA,CVX,DAL
01/03/2011,10.745816,34.315746,12.575231,4.788,69.125435,9.424299
02/03/2011,10.832259,34.022251,12.608082,4.804,69.508347,9.015706
03/03/2011,11.061138,34.676964,12.989145,4.872,69.992035,9.113413
04/03/2011,11.074675,34.255531,12.916878,4.99,69.696457,8.802524
07/03/2011,10.931933,34.007191,12.884026,4.988,69.199326,8.962409
08/03/2011,10.944239,34.917782,12.930017,4.932,69.709877,9.832891
09/03/2011,10.843025,35.038185,12.916878,4.944,68.614891,9.664124
10/03/2011,10.664602,34.263065,12.719771,4.802,66.55925,9.930598
11/03/2011,10.828259,34.421101,12.792043,4.814,67.130272,9.975012
14/03/2011,10.87656,34.089985,13.015431,4.65,67.714706,9.744068
15/03/2011,10.626457,33.570724,12.982577,4.59,68.003601,9.495359
16/03/2011,10.152091,32.968708,12.680352,4.564,66.848114,9.060116
17/03/2011,10.294526,33.533104,13.061421,4.562,68.68206,8.758113
18/03/2011,10.172395,34.421101,13.258527,4.592,69.058235,9.095646
21/03/2011,10.437879,34.338314,13.127121,4.546,70.663803,9.03347
22/03/2011,10.496328,34.217911,13.100842,4.438,70.690659,8.882467
23/03/2011,10.434494,34.315746,13.087698,4.442,70.85862,8.802524
24/03/2011,10.612308,34.413578,13.337364,4.466,70.791428,8.89135
25/03/2011,10.814417,34.511406,13.370214,4.55,71.731918,8.704817
28/03/2011,10.780579,34.586658,13.317654,4.65,71.234795,8.802524
29/03/2011,10.796576,34.631813,13.389925,4.784,72.128258,8.695936
30/03/2011,10.724896,34.955414,13.36364,4.742,72.558189,8.829172
31/03/2011,10.721204,34.692024,13.343938,5.55,72.20887,8.704817
01/04/2011,10.59969,34.880142,13.389925,5.332,72.766434,8.722582
04/04/2011,10.496021,35.061745,13.495047,5.166,72.706001,8.731466
05/04/2011,10.425268,35.243328,13.435914,5.34,73.444954,8.615993
06/04/2011,10.399117,36.045341,13.330791,5.298,72.994843,8.518287
07/04/2011,10.40035,35.863758,13.357078,5.448,73.182922,8.358404
08/04/2011,10.307444,35.440037,13.442492,5.298,73.666603,8.029752
11/04/2011,10.176394,35.455173,13.580459,5.054,72.403687,8.376166
12/04/2011,10.225616,35.288719,13.442492,4.93,69.985298,8.793643
13/04/2011,10.340361,34.993641,13.442492,4.986,69.736755,8.509407
14/04/2011,10.22623,34.025169,13.462195,5.028,70.455536,8.305109
15/04/2011,10.073643,33.964642,13.488478,5.116,71.369164,8.216285
18/04/2011,10.208694,33.260983,13.403067,5.006,70.200264,8.118576
19/04/2011,10.393581,33.783047,13.488478,5.032,70.804871,8.109693
20/04/2011,10.533554,33.714954,13.396499,5.15,72.423828,8.056397
21/04/2011,10.788577,33.805752,13.00229,5.348,72.638802,8.038633
25/04/2011,10.859639,33.752781,13.232239,5.278,72.161842,7.994224
26/04/2011,10.779964,34.138664,13.265092,5.386,73.055298,8.873587
27/04/2011,10.771658,34.426182,13.554177,5.416,73.20311,8.92688
28/04/2011,10.667065,34.690983,13.685577,5.532,73.095596,8.944644
29/04/2011,10.771044,34.524529,13.777565,5.52,73.518837,9.22
02/05/2011,10.652606,34.184052,13.810413,5.49,72.672417,9.291062
03/05/2011,10.71167,34.743961,13.429348,5.374,71.322136,9.344356
04/05/2011,10.753815,34.426182,13.560749,5.338,70.32119,9.299944
05/05/2011,10.667065,34.176491,13.396499,5.288,68.937355,9.966129
06/05/2011,10.664294,34.078133,13.50162,5.424,69.112007,9.957249
09/05/2011,10.693214,34.017601,13.534465,5.582,69.924858,9.60195
10/05/2011,10.750122,34.168926,13.705292,5.666,70.106232,9.593065
11/05/2011,10.681831,33.465267,13.672123,5.414,68.695496,9.824009
12/05/2011,10.661525,33.359341,13.857867,5.534,69.031372,9.655243
13/05/2011,10.474795,32.648117,13.877769,5.51,68.782829,9.459831
